K, MeanJaccardScore
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.14285714285714285
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.05555555555555555
19, 0.0
20, 0.0
21, 0.047619047619047616
22, 0.0
23, 0.0
24, 0.0
25, 0.0
26, 0.0
27, 0.0
28, 0.0
29, 0.0
30, 0.0
31, 0.0
32, 0.0
33, 0.0
34, 0.0
35, 0.0
36, 0.0
37, 0.0
38, 0.0
39, 0.0
40, 0.025
41, 0.0
42, 0.0
43, 0.0
44, 0.0
45, 0.022222222222222223
46, 0.0
47, 0.0
48, 0.0
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.0
54, 0.018518518518518517
55, 0.0
56, 0.0
57, 0.0
58, 0.0
59, 0.01694915254237288
60, 0.0
61, 0.0
62, 0.016129032258064516
63, 0.0
64, 0.0
65, 0.015384615384615385
66, 0.015151515151515152
67, 0.0
68, 0.0
69, 0.0
70, 0.0
71, 0.0
72, 0.0
73, 0.0136986301369863
74, 0.0
75, 0.0
76, 0.0
77, 0.0
78, 0.0
79, 0.0
80, 0.0125
81, 0.0
82, 0.0
83, 0.012048192771084338
84, 0.023809523809523808
85, 0.0
86, 0.0
87, 0.0
88, 0.011363636363636364
89, 0.0
90, 0.0
91, 0.01098901098901099
92, 0.0
93, 0.0
94, 0.0
95, 0.0
96, 0.0
97, 0.015463917525773196
98, 0.0
99, 0.010101010101010102
100, 0.0
101, 0.0
102, 0.029411764705882353
103, 0.019417475728155338
104, 0.009615384615384616
105, 0.009523809523809525
106, 0.009433962264150943
107, 0.018691588785046728
108, 0.0
109, 0.027522935779816515
110, 0.00909090909090909
111, 0.0
112, 0.0
113, 0.0
114, 0.0
115, 0.0
116, 0.008620689655172414
117, 0.0
118, 0.00847457627118644
119, 0.0
120, 0.0
121, 0.0
122, 0.00819672131147541
123, 0.008130081300813009
124, 0.016129032258064516
125, 0.0
126, 0.023809523809523808
127, 0.0
128, 0.0
129, 0.007751937984496124
130, 0.023076923076923078
131, 0.007633587786259542
132, 0.015151515151515152
133, 0.0
134, 0.014925373134328358
135, 0.007407407407407408
136, 0.0
137, 0.029197080291970802
138, 0.007246376811594203
139, 0.0
140, 0.014285714285714285
141, 0.0
142, 0.014084507042253521
143, 0.0
144, 0.0
145, 0.013793103448275862
146, 0.0
147, 0.006802721088435374
148, 0.0
149, 0.0
150, 0.0
151, 0.0
152, 0.019736842105263157
153, 0.006535947712418301
154, 0.0
155, 0.0064516129032258064
156, 0.0
157, 0.0
158, 0.0
159, 0.0
160, 0.00625
161, 0.003105590062111801
162, 0.0
163, 0.0
164, 0.006097560975609756
165, 0.006060606060606061
166, 0.006024096385542169
167, 0.0
168, 0.005952380952380952
169, 0.0
170, 0.0
171, 0.005847953216374269
172, 0.0
173, 0.005780346820809248
