K, MeanJaccardScore
1, 0.0
2, 0.16666666666666666
3, 0.0
4, 0.0
5, 0.01818181818181818
6, 0.030303030303030304
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.08333333333333333
13, 0.057692307692307696
14, 0.017857142857142856
15, 0.0
16, 0.0
17, 0.0
18, 0.013888888888888888
19, 0.0
20, 0.016666666666666666
21, 0.004329004329004329
22, 0.0
23, 0.0
24, 0.0
25, 0.02
26, 0.014685314685314687
27, 0.0
28, 0.017857142857142856
29, 0.0
30, 0.012478632478632479
31, 0.0061583577712609975
32, 0.00625
33, 0.030303030303030304
34, 0.0
35, 0.019047619047619046
36, 0.0
37, 0.012993762993762994
38, 0.0023923444976076554
39, 0.023504273504273504
40, 0.013750000000000002
41, 0.0024390243902439024
42, 0.004761904761904762
43, 0.0
44, 0.022727272727272728
45, 0.0
46, 0.025691699604743084
47, 0.002127659574468085
48, 0.005208333333333333
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.018867924528301886
54, 0.009259259259259259
55, 0.0
56, 0.016666666666666666
57, 0.0
58, 0.007427055702917773
59, 0.028813559322033895
60, 0.0
61, 0.01639344262295082
62, 0.01759530791788856
63, 0.008177008177008177
64, 0.015625
65, 0.020512820512820513
66, 0.003787878787878788
67, 0.0
68, 0.0058823529411764705
69, 0.014492753623188406
70, 0.0
71, 0.0
72, 0.022222222222222223
73, 0.0045662100456621
74, 0.02511261261261261
75, 0.013333333333333334
76, 0.01218671679197995
77, 0.0037878787878787876
78, 0.019230769230769232
79, 9.737098344693282E-4
80, 0.0
81, 0.016460905349794237
82, 0.016715939886671596
83, 0.0
84, 0.024623788909503192
85, 0.023529411764705882
86, 0.005813953488372093
87, 0.011494252873563218
88, 0.02380952380952381
89, 0.02247191011235955
90, 0.009116809116809116
91, 0.01381951381951382
92, 9.057971014492753E-4
93, 0.013522319973932877
94, 0.00975177304964539
95, 0.014736842105263158
96, 0.019407849849425937
97, 0.009079194001874414
98, 0.016078558752693622
99, 0.02771518604851938
100, 9.090909090909091E-4
101, 0.0066006600660066
102, 0.004901960784313725
103, 0.011063693587965433
104, 0.00641025641025641
105, 0.009850673825829106
106, 0.01838335304291006
107, 0.009487397337864627
108, 0.004261633428300095
109, 0.01926605504587156
110, 0.01818181818181818
111, 0.0041464541464541465
112, 0.030314625850340136
113, 0.012922623099614249
114, 0.010964912280701754
115, 7.905138339920949E-4
116, 0.012588417329796639
117, 0.017806267806267803
118, 0.012696731234866828
119, 0.015609880315762669
120, 0.029292929292929294
121, 0.009634305088850543
122, 0.0024064733081126523
123, 0.00420699445089689
124, 0.004032258064516129
125, 0.02175238095238095
126, 0.0025132275132275133
127, 0.0
128, 0.0078125
129, 0.0
130, 0.0026223776223776225
131, 0.01836990405692696
132, 0.015151515151515152
133, 0.0037593984962406013
134, 6.7842605156038E-4
135, 0.0
136, 0.011697860962566845
137, 0.01891174518911745
138, 0.012676514306949088
139, 0.014388489208633094
140, 0.008571428571428572
141, 0.0098193177980412
142, 0.01056338028169014
143, 0.010722610722610722
144, 0.003472222222222222
145, 0.014655172413793103
146, 0.0143455098934551
147, 0.018877551020408164
148, 0.004842342342342342
149, 0.0035794183445190158
150, 0.006666666666666667
151, 0.01826209110977323
152, 0.006578947368421052
153, 0.016067538126361657
154, 0.006493506493506494
155, 0.015519713261648747
156, 0.005439005439005438
157, 0.01910828025477707
158, 0.006329113924050633
159, 0.0047169811320754715
160, 0.0178125
161, 0.001823538780060519
162, 0.015426445982001538
163, 0.011749395798475552
164, 0.003360765251009154
165, 0.008000459136822773
166, 0.01646586345381526
167, 0.014580363083357094
168, 0.009424603174603174
169, 0.0024044331736639427
170, 0.00912450294803236
171, 9.2824654228163E-4
172, 0.015988372093023256
173, 0.0
