K, MeanJaccardScore
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.1
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
21, 0.0
22, 0.0
23, 0.043478260869565216
24, 0.0
25, 0.0
26, 0.0
27, 0.0
28, 0.0
29, 0.0
30, 0.0
31, 0.0
32, 0.015625
33, 0.0
34, 0.0
35, 0.02857142857142857
36, 0.0
37, 0.0
38, 0.0
39, 0.02564102564102564
40, 0.0
41, 0.0
42, 0.002380952380952381
43, 0.023255813953488372
44, 0.0
45, 0.0
46, 0.021739130434782608
47, 0.0
48, 0.0
49, 0.0
50, 0.01
51, 0.0
52, 0.019230769230769232
53, 0.0
54, 0.0
55, 0.0
56, 0.009920634920634922
57, 0.008771929824561403
58, 0.008620689655172414
59, 0.00847457627118644
60, 0.020833333333333332
61, 0.01639344262295082
62, 0.016129032258064516
63, 0.0
64, 0.0
65, 0.0
66, 0.0101010101010101
67, 0.03731343283582089
68, 0.0
69, 0.028985507246376812
70, 0.007142857142857143
71, 0.007042253521126761
72, 0.013888888888888888
73, 0.0
74, 0.0
75, 0.013333333333333334
76, 0.0
77, 0.012987012987012988
78, 0.00641025641025641
79, 0.012658227848101266
80, 0.0
81, 0.012345679012345678
82, 0.018292682926829267
83, 0.0
84, 0.0
85, 0.0058823529411764705
86, 0.011627906976744186
87, 0.010855683269476373
88, 0.022727272727272728
89, 0.0
90, 0.0
91, 0.01098901098901099
92, 0.009057971014492752
93, 0.021505376344086023
94, 0.005319148936170213
95, 0.0
96, 0.0
97, 0.011597938144329897
98, 0.021683673469387755
99, 0.010101010101010102
100, 0.0055000000000000005
101, 0.0
102, 0.0130718954248366
103, 0.0
104, 0.01282051282051282
105, 0.0
106, 0.022985923929320154
107, 0.02858255451713396
108, 0.0
109, 0.0
110, 0.0
111, 0.006756756756756757
112, 0.017857142857142856
113, 0.01991150442477876
114, 0.008771929824561403
115, 0.0
116, 0.012859195402298849
117, 0.01282051282051282
118, 0.012711864406779662
119, 0.022158863545418163
120, 0.003968253968253968
121, 0.01515151515151515
122, 0.03527517564402811
123, 0.008130081300813009
124, 0.0
125, 0.0
126, 0.003968253968253968
127, 0.007874015748031496
128, 0.0
129, 0.0
130, 0.007692307692307693
131, 0.003816793893129771
132, 0.0101010101010101
133, 0.0
134, 0.014925373134328356
135, 0.0
136, 0.003676470588235294
137, 0.0
138, 0.012922705314009662
139, 0.01199040767386091
140, 0.007142857142857143
141, 0.0
142, 0.011737089201877934
143, 0.0
144, 0.001736111111111111
145, 0.02413793103448276
146, 0.010273972602739725
147, 0.018140589569160998
148, 0.014478764478764478
149, 0.012304250559284116
150, 0.006666666666666667
151, 0.008278145695364239
152, 0.013157894736842105
153, 0.006535947712418301
154, 0.006493506493506494
155, 0.0032258064516129032
