K, MeanJaccardScore
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.003401360544217687
8, 0.003048780487804878
9, 0.04938271604938271
10, 0.0
11, 0.006342494714587738
12, 0.006578947368421052
13, 0.0
14, 0.004464285714285714
15, 0.01693121693121693
16, 0.00646551724137931
17, 0.0058823529411764705
18, 0.014224548477380044
19, 0.007249366417162728
20, 0.004112903225806452
21, 0.0
22, 0.00489109169166558
23, 0.0170272006853716
24, 0.013062817719680465
25, 0.019264214046822742
26, 0.00798885053692746
27, 0.016058665181472195
28, 0.0
29, 0.004056795131845842
30, 0.011679292929292928
31, 0.006754893851668046
32, 0.0
33, 0.007497758213092035
34, 0.0068982344068849255
35, 0.002197802197802198
36, 0.015339732731037078
37, 0.009009009009009009
38, 0.024453971153751454
39, 0.008717217270237141
40, 0.004698581560283688
41, 0.022225892746906308
42, 0.01578998700027077
43, 0.003875968992248062
44, 0.005035727324883952
45, 0.009876543209876543
46, 0.011642327228873577
47, 0.00904547580079495
48, 0.01832682846200237
49, 0.0
50, 0.0
51, 0.00500494315373208
52, 0.022054615168219657
53, 0.006289308176100628
54, 0.0010471781305114638
55, 0.007609397078407254
56, 0.023392045786649694
57, 5.659309564233164E-4
58, 0.011633872810796026
59, 0.02409343964960041
60, 0.015681481458934436
61, 0.004009651550635157
62, 0.009446306381790252
63, 0.021632113270523022
64, 0.008069205989938929
65, 0.009721161191749428
66, 0.026611389261900303
67, 0.009315106771463189
68, 0.021085018278941152
69, 0.018760779674213076
70, 0.0037677527151211356
71, 0.0035211267605633804
72, 0.02078725191010232
73, 0.009550056923342633
74, 0.016558589722375453
75, 0.02453984453984454
76, 0.008944348171321856
77, 0.03566741243430596
78, 0.019318444305566593
79, 0.0015101043748612037
80, 0.004627450980392156
81, 0.019823224141147885
82, 0.0034449337548931045
83, 0.00762002904724889
84, 0.00550050148264434
85, 0.014149560753093806
86, 0.011119392662278972
87, 0.019998594798389027
88, 0.019004489642858627
89, 0.017395941207309668
90, 0.020499604998259608
91, 0.013034719585974363
92, 0.008315815667074247
93, 0.01134641141172167
94, 0.010541734094123513
95, 0.011838789023197412
96, 0.016761879160987512
97, 0.0014875270459462897
98, 0.003212396069538926
99, 0.01841014976170972
100, 0.00192365350698684
101, 0.004104221674436046
102, 0.012696537475548896
103, 0.010355548608782591
104, 0.01542525099490191
105, 0.021226682017422196
106, 0.006839677472088828
107, 0.012738769524340459
108, 0.003884078884078884
109, 0.0026005415104173872
110, 0.004598822230401178
111, 0.017331128518327257
112, 0.014814447370437625
113, 0.006191114686689908
114, 0.022933859576397753
115, 0.017445643056118364
116, 0.011416487695616585
117, 0.004829538554564064
118, 0.024632864777911392
119, 0.012270997366568772
120, 0.02402053123759221
121, 0.02340922478634818
122, 0.00318140420599437
123, 0.023695695129547747
124, 0.01980655256772082
125, 0.026193323629971555
126, 0.009892183369074126
127, 0.010888637139555202
