K, MeanJaccardScore
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.2
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.06666666666666667
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
21, 0.0
22, 0.0
23, 0.0
24, 0.0
25, 0.0
26, 0.038461538461538464
27, 0.0
28, 0.03571428571428571
29, 0.034482758620689655
30, 0.03333333333333333
31, 0.03225806451612903
32, 0.0
33, 0.0
34, 0.0
35, 0.0
36, 0.05555555555555555
37, 0.0
38, 0.02631578947368421
39, 0.0
40, 0.05
41, 0.024390243902439025
42, 0.047619047619047616
43, 0.0
44, 0.0
45, 0.0
46, 0.021739130434782608
47, 0.02127659574468085
48, 0.0
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.0
54, 0.018518518518518517
55, 0.01818181818181818
56, 0.0
57, 0.017543859649122806
58, 0.034482758620689655
59, 0.01694915254237288
60, 0.0
61, 0.0
62, 0.03225806451612903
63, 0.0
64, 0.0
65, 0.015384615384615385
66, 0.015151515151515152
67, 0.04477611940298507
68, 0.0
69, 0.0
70, 0.014285714285714285
71, 0.0
72, 0.0
73, 0.0
74, 0.0
75, 0.0
76, 0.02631578947368421
77, 0.012987012987012988
78, 0.0
79, 0.012658227848101266
80, 0.0125
81, 0.012345679012345678
82, 0.024390243902439025
83, 0.012048192771084338
84, 0.0
85, 0.0
86, 0.011627906976744186
87, 0.0
88, 0.0
89, 0.0
90, 0.011111111111111112
91, 0.01098901098901099
92, 0.0
93, 0.021505376344086023
94, 0.010638297872340425
95, 0.010526315789473684
96, 0.010416666666666666
97, 0.020618556701030927
98, 0.01020408163265306
99, 0.020202020202020204
100, 0.02
101, 0.009900990099009901
102, 0.0196078431372549
103, 0.0
104, 0.009615384615384616
105, 0.0
106, 0.0
107, 0.0
108, 0.018518518518518517
109, 0.0
110, 0.00909090909090909
111, 0.018018018018018018
112, 0.0
113, 0.017699115044247787
114, 0.0
115, 0.0
116, 0.02586206896551724
117, 0.008547008547008548
118, 0.0
119, 0.0
120, 0.016666666666666666
121, 0.01652892561983471
122, 0.00819672131147541
123, 0.024390243902439025
124, 0.0
125, 0.008
126, 0.015873015873015872
127, 0.007874015748031496
128, 0.015625
129, 0.0
130, 0.023076923076923078
131, 0.0
132, 0.007575757575757576
133, 0.007518796992481203
134, 0.007462686567164179
135, 0.022222222222222223
136, 0.014705882352941176
137, 0.0
138, 0.0
139, 0.0
140, 0.007142857142857143
141, 0.0070921985815602835
142, 0.014084507042253521
143, 0.006993006993006993
144, 0.006944444444444444
145, 0.020689655172413793
146, 0.00684931506849315
147, 0.006802721088435374
148, 0.006756756756756757
149, 0.013422818791946308
150, 0.013333333333333334
151, 0.006622516556291391
152, 0.019736842105263157
153, 0.013071895424836602
154, 0.012987012987012988
155, 0.0064516129032258064
156, 0.00641025641025641
