Groupe	Moyenne_Densité	Écart_Type_Densité
1	9,986E-1	2,192E-1
2	1,257E0	1,652E-1
3	1,288E0	1,406E-1
4	1,392E0	1,36E-1
5	1,383E0	1,57E-1
6	1,414E0	1,115E-1
7	1,385E0	1,233E-1
8	1,364E0	1,237E-1
9	1,245E0	1,142E-1
10	1,087E0	1,27E-1
