Groupe	Moyenne_Densité	Écart_Type_Densité
1	9,511E-1	6,669E-1
2	1,575E0	1,03E0
3	1,563E0	7,883E-1
4	1,57E0	5,204E-1
5	1,613E0	5,602E-1
6	1,476E0	4,467E-1
7	1,463E0	4,389E-1
8	1,385E0	4,502E-1
9	1,277E0	3,152E-1
10	9,887E-1	1,743E-1
