Groupe	Moyenne_Densité	Écart_Type_Densité
1	7,269E1	9,782E1
2	2,019E2	3,827E2
3	1,902E2	5,489E2
4	2,535E2	4,897E2
5	1,496E2	2,941E2
6	1,705E2	1,964E2
7	1,027E2	8,002E1
8	1,181E2	1,711E2
9	7,492E1	4,441E1
10	5,658E1	3,18E1
