Groupe	Moyenne_Densité	Écart_Type_Densité
1	4,69E39	1,379E40
2	1,111E40	3,321E40
3	3,881E39	1,081E40
4	1,256E39	2,494E39
5	3,581E41	2,454E42
6	7,741E39	3,648E40
7	1,478E41	9,182E41
8	1,519E40	9,715E40
9	7,161E39	2,906E40
10	1,885E41	8,842E41
