Groupe	Moyenne_Densité	Écart_Type_Densité
1	5,18E-2	3,359E-2
2	6,018E-2	2,056E-2
3	6,731E-2	2,232E-2
4	7,255E-2	1,582E-2
5	6,952E-2	1,901E-2
6	6,929E-2	1,435E-2
7	6,929E-2	1,275E-2
8	6,539E-2	1,121E-2
9	6,295E-2	1,003E-2
10	5,938E-2	1,175E-2
