Groupe	Moyenne_Densité	Écart_Type_Densité
1	3,814E-7	4,158E-7
2	7,701E-7	7,572E-7
3	9,506E-7	9,387E-7
4	1,431E-6	1,02E-6
5	1,422E-6	1,309E-6
6	1,415E-6	1,436E-6
7	1,453E-6	1,252E-6
8	1,869E-6	1,369E-6
9	1,881E-6	1,317E-6
10	1,293E-6	7,512E-7
