Groupe	Moyenne_Densité	Écart_Type_Densité
1	6,455E0	1,067E0
2	5,111E0	4,148E-1
3	4,449E0	3,886E-1
4	3,871E0	2,7E-1
5	3,735E0	2,965E-1
6	3,373E0	7,551E-2
7	3,342E0	2,942E-1
8	3,122E0	2,269E-2
9	2,903E0	7,19E-2
10	2,617E0	1,234E-1
