Groupe	Moyenne_Densité	Écart_Type_Densité
1	4,272E-1	4,404E-1
2	1,082E0	4,36E0
3	1,638E0	3,103E0
4	1,899E0	2,513E0
5	3,516E0	5,179E0
6	3,284E0	3,96E0
7	7,275E0	1,102E1
8	6,114E0	7,554E0
9	1,171E1	1,496E1
10	7,926E0	8,131E0
