Groupe	Moyenne_Densité	Écart_Type_Densité
1	0E0	0E0
2	0E0	0E0
3	0E0	0E0
4	0E0	0E0
5	6,14E-8	3,552E-7
6	7,615E-7	4,034E-6
7	0E0	0E0
8	0E0	0E0
9	7,636E-7	4,641E-6
10	4,906E-7	2,175E-6
