Groupe	Moyenne_Densité	Écart_Type_Densité
1	2,808E-7	1,146E-6
2	1,89E-8	5,159E-8
3	6,61E-8	1,895E-7
4	4,586E-7	2,602E-6
5	1,699E-7	6,269E-7
6	2,23E-8	8,595E-8
7	4,03E-8	1,409E-7
8	3,392E-7	1,449E-6
9	6,16E-8	1,946E-7
10	4,1E-9	9,386E-9
