Groupe	Moyenne_Densité	Écart_Type_Densité
1	3,192E-1	1,017E0
2	1,016E0	3,052E0
3	9,586E-1	1,601E0
4	1,018E0	1,874E0
5	1,537E0	2,384E0
6	1,345E0	2,049E0
7	1,518E0	1,761E0
8	1,686E0	1,467E0
9	1,269E0	1,426E0
10	1,957E0	6,857E-1
