Groupe	Moyenne_Densité	Écart_Type_Densité
1	7,596E0	2,031E1
2	3,907E1	2,335E2
3	1,064E1	3,188E1
4	9,005E0	2,054E1
5	1,228E1	3,016E1
6	8,105E0	2,624E1
7	1,901E1	4,166E1
8	1,548E1	2,583E1
9	1,278E1	2,335E1
10	6,657E0	9,021E0
