Groupe	Moyenne_Densité	Écart_Type_Densité
1	4,346E1	2,086E2
2	2,379E1	6,871E1
3	1,847E2	8,899E2
4	7,355E0	1,908E1
5	1,432E1	3,85E1
6	3,202E1	1,34E2
7	1,525E2	7,425E2
8	9,177E0	4,472E1
9	1,89E0	3,64E0
10	5,079E-1	4,822E-1
