Groupe	Moyenne_Densité	Écart_Type_Densité
1	7,729E80	4,807E81
2	1,004E83	7,021E83
3	1,84E85	1,002E86
4	1,217E80	6,839E80
5	4,068E86	2,848E87
6	4,633E81	3,226E82
7	5,72E91	4,004E92
8	3,944E84	1,942E85
9	9,459E80	5,522E81
10	3,799E82	2,615E83
