Groupe	Moyenne_Densité	Écart_Type_Densité
1	2,417E-7	7,849E-7
2	2,835E-7	1,24E-6
3	4,013E-7	1,626E-6
4	3,391E-7	1,316E-6
5	5,267E-5	3,673E-4
6	6,569E-6	4,212E-5
7	3,546E-6	1,34E-5
8	3,251E-4	2,264E-3
9	1,33E-7	4,731E-7
10	1,296E-5	8,339E-5
