Groupe	Moyenne_Densité	Écart_Type_Densité
1	3,022E7	1,102E8
2	2,732E7	9,273E7
3	9,142E8	6,271E9
4	8,901E7	3,669E8
5	9,362E6	2,429E7
6	2,737E7	7,975E7
7	3,795E8	2,478E9
8	2,444E8	1,591E9
9	3,069E6	1,104E7
10	1,746E7	1,012E8
