Groupe	Moyenne_Densité	Écart_Type_Densité
1	0E0	0E0
2	0E0	0E0
3	1,28E0	4,341E0
4	9,6E-1	3,256E0
5	3,12E0	5,264E0
6	3,787E0	4,863E0
7	4,32E0	4,356E0
8	5,303E0	3,018E0
9	5,191E0	1,77E0
10	4,153E0	8,918E-1
