Groupe	Moyenne_Densité	Écart_Type_Densité
1	7,401E5	4,354E6
2	4,169E6	2,748E7
3	6,236E6	3,049E7
4	1,046E6	4,53E6
5	1,474E5	9,197E5
6	1,419E5	4,596E5
7	9,573E4	4,664E5
8	2,241E6	9,224E6
9	7,505E4	3,422E5
10	3,529E6	2,136E7
