Iteration,IP_CPU_Time(ms)
0,0.0
1,0.0193761
2,0.0158265
3,0.0157221
4,0.0151145
5,0.0153565
6,0.0160528
7,0.017616700000000002
8,0.016071
9,0.0152061
10,0.0156439
11,0.015371000000000001
12,0.0151181
13,0.0155777
14,0.015805299999999998
15,0.014751999999999998
16,0.0150449
17,0.0147243
18,0.015251099999999998
19,0.014956999999999998
20,0.014866099999999998
21,0.015506500000000001
22,0.0148604
23,0.014601900000000001
24,0.015182999999999999
25,0.015618100000000001
26,0.0167167
27,0.014898900000000001
28,0.0158329
29,0.0156496
30,0.014744200000000002
31,0.014296900000000001
32,0.0153568
33,0.015255100000000002
34,0.0142098
35,0.015388800000000003
36,0.0152938
37,0.015817300000000003
38,0.0159904
39,0.0168491
40,0.019871
41,0.015630099999999997
42,0.0163606
43,0.0153761
44,0.0166976
45,0.0162661
46,0.015594699999999998
47,0.015356799999999999
48,0.014917999999999997
49,0.014915500000000002
50,0.0156853
51,0.0151997
52,0.014920800000000001
53,0.014751699999999998
54,0.014604699999999998
55,0.0149501
56,0.015386
57,0.0148622
58,0.015118199999999998
59,0.014464800000000003
60,0.015176699999999998
61,0.0144381
62,0.014635899999999999
63,0.014783800000000003
64,0.014512499999999998
65,0.0153811
66,0.0154916
67,0.0144535
68,0.0145028
69,0.0164628
70,0.014475400000000003
71,0.015120799999999998
72,0.0155632
73,0.014998699999999998
74,0.015864200000000002
75,0.014144299999999999
76,0.014578600000000002
77,0.014771200000000002
78,0.014770700000000001
79,0.014601600000000001
80,0.014341299999999998
81,0.015204399999999998
82,0.0144497
83,0.014552899999999999
84,0.014826200000000001
85,0.014102700000000001
86,0.0147644
87,0.0149072
88,0.0149778
89,0.014147600000000005
90,0.015218200000000001
91,0.014517600000000002
92,0.015595600000000001
93,0.015041100000000002
94,0.014838100000000002
95,0.014442700000000003
96,0.0148035
97,0.014121900000000001
98,0.015125800000000003
99,0.014255800000000002
100,0.015496500000000002
101,0.0159788
102,0.015468899999999997
103,0.014169999999999999
104,0.015314599999999998
105,0.0137077
106,0.014679600000000001
107,0.015250999999999997
108,0.0151342
109,0.015026600000000001
110,0.014996
111,0.015369800000000003
112,0.015022299999999999
113,0.014388799999999998
114,0.0143935
115,0.0148662
116,0.014902099999999998
117,0.0147149
118,0.0147643
119,0.0143155
120,0.014613999999999999
121,0.0146913
122,0.015218699999999998
123,0.015234000000000001
124,0.0146442
125,0.014690100000000001
126,0.0139008
127,0.0148266
128,0.0152917
129,0.015473099999999998
130,0.015673799999999995
131,0.015431699999999998
132,0.0149806
133,0.014513499999999999
134,0.014127400000000002
135,0.0148786
136,0.015353
137,0.014924100000000001
138,0.014754699999999999
139,0.014318500000000001
140,0.0150758
141,0.015183000000000002
142,0.015179100000000001
143,0.015407399999999998
144,0.014411500000000002
145,0.01452
146,0.0143475
147,0.0150666
148,0.0148704
149,0.015615099999999998
150,0.0155775
151,0.0152764
152,0.015154800000000001
153,0.014597500000000003
154,0.013961399999999999
155,0.015565500000000001
156,0.0141495
157,0.0154472
158,0.0166545
159,0.0152701
160,0.014715599999999999
161,0.015027299999999999
162,0.014427400000000002
163,0.015153400000000001
164,0.015198
165,0.015069000000000003
166,0.015420099999999997
167,0.0179409
168,0.0156494
169,0.015110000000000002
170,0.015132000000000001
171,0.015195
172,0.014236100000000002
173,0.0147861
174,0.0145373
175,0.015118600000000001
176,0.014935299999999999
177,0.014635399999999998
178,0.0152504
179,0.0164162
180,0.0147796
181,0.0153356
182,0.0144804
183,0.015520200000000001
184,0.013849
185,0.015681999999999998
186,0.015481
187,0.0145704
188,0.015432400000000002
189,0.016060799999999997
190,0.0159668
191,0.014534200000000002
192,0.0144264
193,0.014249800000000002
194,0.0146802
195,0.015599499999999999
196,0.0144508
197,0.0147756
198,0.014707900000000001
199,0.015754300000000002
200,0.016345600000000002
201,0.014740499999999998
202,0.015301899999999998
203,0.014973400000000001
204,0.0152255
205,0.0151254
206,0.014044200000000001
207,0.015061199999999997
208,0.0156058
209,0.0153001
210,0.014015699999999997
211,0.0145087
212,0.015562199999999998
213,0.0151181
214,0.0143155
215,0.014542
216,0.0151567
217,0.015434
218,0.015486300000000003
219,0.0152096
220,0.018454900000000003
221,0.016085099999999998
222,0.014227799999999999
223,0.015050699999999997
224,0.0145282
225,0.015116
226,0.0145785
227,0.013963
228,0.0153131
229,0.014519200000000001
230,0.013724900000000002
231,0.014964400000000003
232,0.014818399999999999
233,0.013999800000000001
234,0.014698800000000001
235,0.0166027
236,0.015415400000000001
237,0.0143011
238,0.014868000000000001
239,0.015148900000000002
240,0.014476000000000003
241,0.014185299999999998
242,0.015301399999999998
243,0.0150367
244,0.0140483
245,0.014160099999999998
246,0.015140200000000001
247,0.014894400000000002
248,0.015411499999999998
249,0.014904999999999998
250,0.014937699999999998
251,0.0149369
252,0.015031899999999997
253,0.014261200000000002
254,0.015261400000000003
255,0.015204299999999999
256,0.014830500000000002
257,0.0144509
258,0.0153515
259,0.0153811
260,0.0152883
261,0.0151617
262,0.0140319
263,0.016989399999999998
264,0.014804800000000002
265,0.0160806
266,0.015164399999999998
267,0.015332099999999998
268,0.015516199999999999
269,0.0166765
270,0.0153335
271,0.015549299999999999
272,0.0150086
273,0.014839799999999997
274,0.0149507
275,0.0159755
276,0.0139121
277,0.0156454
278,0.018240600000000003
279,0.0148124
280,0.015633
281,0.014832099999999997
282,0.014591199999999999
283,0.01653
284,0.015174100000000001
285,0.016780499999999997
286,0.0152394
287,0.015004499999999999
288,0.0141976
289,0.014012199999999997
290,0.016421399999999996
291,0.0160612
292,0.0153716
293,0.014633400000000001
294,0.015608999999999998
295,0.0146802
296,0.014316
297,0.0145591
298,0.0150729
299,0.0148736
300,0.015099200000000002
301,0.014719600000000003
302,0.015332199999999999
303,0.014839899999999998
304,0.015035199999999999
305,0.014923800000000001
306,0.014708400000000002
307,0.0153558
308,0.0154572
309,0.0157564
310,0.014905900000000003
311,0.0152201
312,0.0140876
313,0.0147986
314,0.014881599999999998
315,0.015201200000000003
316,0.014468599999999998
317,0.014660500000000002
318,0.0154101
319,0.0152756
320,0.0151339
321,0.0153391
322,0.014824100000000002
323,0.014344100000000002
324,0.0142983
325,0.015000599999999998
326,0.013908099999999998
327,0.015031900000000004
328,0.0141353
329,0.014069100000000001
330,0.0154236
331,0.0153836
332,0.014485399999999999
333,0.0154072
334,0.0147957
335,0.0135578
336,0.015201700000000002
337,0.0156479
338,0.015087399999999997
339,0.014962600000000001
340,0.014637
341,0.014864800000000001
342,0.014842800000000003
343,0.014373200000000003
344,0.0158949
345,0.014541500000000002
346,0.0146866
347,0.015477300000000003
348,0.014604299999999997
349,0.0145126
350,0.013891500000000001
351,0.014646299999999998
352,0.0163747
353,0.014442
354,0.0149096
355,0.0150697
356,0.014007700000000001
357,0.0146966
358,0.015000900000000001
359,0.014933700000000003
360,0.014748399999999998
361,0.015292599999999998
362,0.014651299999999996
363,0.014041800000000002
364,0.0156798
365,0.015093
366,0.0160413
367,0.0158236
368,0.014805700000000001
369,0.015993799999999996
370,0.016016400000000004
371,0.014070599999999999
372,0.014748999999999998
373,0.014402599999999998
374,0.014024700000000001
375,0.015112199999999998
