Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,27508	0,08693	3,57E1	8,269E0
2	0,49277	0,04361	5,182E1	8,209E0
3	0,59431	0,02212	6,076E1	7,343E0
4	0,69662	0,03043	6,576E1	7,718E0
5	0,76492	0,01707	7,307E1	1,075E1
6	0,82354	0,01244	7,63E1	7,471E0
7	0,86400	0,01273	8,183E1	8,61E0
8	0,91015	0,01447	8,758E1	9,566E0
9	0,94662	0,00791	9,981E1	1,059E1
10	0,97954	0,01208	1,19E2	1,535E1
