Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,06740	0,02317	5,583E-1	3,658E-1
2	0,12662	0,01281	7,131E-1	5,935E-1
3	0,15994	0,00723	8,139E-1	5,475E-1
4	0,18753	0,00868	8,96E-1	7,196E-1
5	0,22227	0,01065	1,025E0	7,244E-1
6	0,26182	0,01032	9,411E-1	7,445E-1
7	0,31390	0,01709	1,449E0	8,959E-1
8	0,37071	0,01996	1,576E0	7,968E-1
9	0,44916	0,02187	2,378E0	1,031E0
10	0,58416	0,07422	3,972E0	1,835E0
