Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,09771	0,04540	2,399E2	1,511E2
2	0,19729	0,01672	3,581E2	1,523E2
3	0,25750	0,01744	4,18E2	1,764E2
4	0,31354	0,01288	4,371E2	1,061E2
5	0,35563	0,01488	5,346E2	1,667E2
6	0,41375	0,01768	6,04E2	1,558E2
7	0,47479	0,01757	6,861E2	1,664E2
8	0,53417	0,01944	8,093E2	1,512E2
9	0,61167	0,02526	9,6E2	1,799E2
10	0,76292	0,06746	1,306E3	4,065E2
