Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,04381	0,01983	4,078E7	3,158E7
2	0,10667	0,01405	5,299E7	4,212E7
3	0,16328	0,01960	6,29E7	5,443E7
4	0,22550	0,01751	4,94E7	3,483E7
5	0,27831	0,01619	7,204E7	5,629E7
6	0,33513	0,02234	8,581E7	6,285E7
7	0,41989	0,01832	9,775E7	7,684E7
8	0,49683	0,03107	7,466E7	4,272E7
9	0,62201	0,04176	9,076E7	5,586E7
10	0,79767	0,07384	1,613E8	1E8
