Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,11424	0,02577	1,166E1	3,912E0
2	0,17261	0,01730	2,132E1	3,19E0
3	0,22141	0,01968	3,146E1	4,623E0
4	0,28262	0,01276	4,596E1	4,741E0
5	0,33242	0,02306	5,608E1	6,87E0
6	0,37872	0,00994	7,024E1	3,314E0
7	0,42637	0,04113	8,066E1	1,264E1
8	0,48064	0,00448	9,624E1	1,68E0
9	0,58320	0,04924	1,258E2	1,33E1
10	0,80000	0,13145	1,93E2	4,091E1
