Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,13096	0,05708	8,052E27	1,76E28
2	0,25526	0,02567	2,726E27	3,543E27
3	0,32222	0,01584	4,438E27	1,156E28
4	0,37452	0,01760	3,573E27	7,359E27
5	0,42889	0,01187	4,434E27	9,967E27
6	0,47407	0,01274	2,552E27	4,167E27
7	0,51881	0,01561	4,305E27	6,343E27
8	0,57244	0,01657	4,092E27	6,696E27
9	0,62696	0,01831	4,216E27	1,064E28
10	0,71719	0,04364	8,288E27	1,389E28
