Groupe	Moyenne_Densité	Écart_Type_Densité
1	8,652E-1	1,52E0
2	6,845E-1	1,412E0
3	5,127E-1	5,175E-1
4	3,933E-1	3,444E-1
5	3,201E-1	2,118E-1
6	2,541E-1	1,075E-1
7	3,007E-1	1,547E-1
8	2,792E-1	1,408E-1
9	2,338E-1	1,008E-1
10	2,089E-1	8,475E-2
