Groupe	Moyenne_Densité	Écart_Type_Densité
1	3,486E-7	1,266E-6
2	7,373E-7	4,913E-6
3	1,199E-6	7,896E-6
4	3,28E-7	1,555E-6
5	6,899E-7	3,377E-6
6	6,758E-7	3,596E-6
7	3,596E-7	1,809E-6
8	1,06E-6	2,828E-6
9	5,965E-7	3,615E-6
10	6,34E-7	1,388E-6
