Groupe	Moyenne_Densité	Écart_Type_Densité
1	3,363E65	2,353E66
2	1,827E62	8,667E62
3	6,318E62	4,162E63
4	2,422E64	1,668E65
5	4,285E63	2,904E64
6	6,436E61	2,659E62
7	1,73E63	9,8E63
8	3,619E62	2,365E63
9	2,464E62	1,691E63
10	6,051E60	2,669E61
