Groupe	Moyenne_Densité	Écart_Type_Densité
1	7,543E0	1,119E1
2	7,455E0	1,298E1
3	9,407E0	2,169E1
4	7,073E0	6,268E0
5	6,373E0	9,531E0
6	7,701E0	1,13E1
7	5,57E0	7,287E0
8	3,06E0	1,922E0
9	3,18E0	2,034E0
10	2,674E0	1,952E0
