Groupe	Moyenne_Densité	Écart_Type_Densité
1	1,119E5	4,383E5
2	7,689E4	2,672E5
3	3,028E4	1,168E5
4	4,784E4	1,674E5
5	3,995E3	9,543E3
6	1,048E4	2,91E4
7	2,02E4	7,791E4
8	5,835E3	1,428E4
9	4,711E3	1,765E4
10	8,341E2	1,825E3
