Groupe	Moyenne_Densité	Écart_Type_Densité
1	2,2E-9	5,791E-9
2	4,1E-9	2,339E-8
3	1,6E-9	3,366E-9
4	1,4E-9	3,013E-9
5	1,2E-9	3,186E-9
6	6E-10	8,307E-10
7	4E-10	5E-10
8	9E-10	1,838E-9
9	8E-10	9,539E-10
10	6E-10	6,557E-10
