Groupe	Moyenne_Densité	Écart_Type_Densité
1	3,6E-9	1,287E-8
2	5,5E-9	1,857E-8
3	3,38E-8	1,674E-7
4	3,89E-8	9,794E-8
5	2,06E-8	9,512E-8
6	1,57E-8	4,398E-8
7	1,112E-7	4,003E-7
8	2,07E-8	3,982E-8
9	2,45E-8	4,343E-8
10	1,44E-8	2,283E-8
