Groupe	Moyenne_Densité	Écart_Type_Densité
1	4,187E0	5,234E0
2	6,185E0	3,567E0
3	6,178E0	2,15E0
4	5,054E0	2,249E0
5	5,038E0	1,371E0
6	4,875E0	2,399E-1
7	4,266E0	2,756E-1
8	3,773E0	2,307E-1
9	3,427E0	2,021E-1
10	3,001E0	2,602E-1
