Groupe	Moyenne_Densité	Écart_Type_Densité
1	3E-10	9,11E-10
2	4E-10	1,411E-9
3	8E-10	3,759E-9
4	1E-9	2,891E-9
5	7E-10	2,285E-9
6	1E-10	2,236E-10
7	2E-10	3,873E-10
8	1E-10	2E-10
9	1E-10	1,414E-10
10	0E0	0E0
