Groupe	Moyenne_Densité	Écart_Type_Densité
1	1,063E0	1,526E0
2	1,758E0	1,684E0
3	1,235E0	1,295E0
4	1,216E0	1,19E0
5	1,426E0	1,351E0
6	1,312E0	1,174E0
7	2,081E0	9,67E-1
8	1,941E0	8,935E-1
9	2,052E0	4,694E-1
10	1,732E0	3,076E-1
