Groupe	Moyenne_Densité	Écart_Type_Densité
1	4,196E4	2,066E5
2	3,563E4	8,571E4
3	4,307E4	1,076E5
4	1,095E4	3,62E4
5	3,715E4	1,014E5
6	2,19E4	6,388E4
7	1,038E5	6,43E5
8	3,938E4	1,242E5
9	3,28E4	7,293E4
10	1,069E5	5,098E5
