Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,00370	0,00000	3,683E6	1,215E7
2	0,00370	0,00000	2,597E6	9,709E6
3	0,00452	0,00153	2,096E6	1,306E7
4	0,00741	0,00000	1,351E7	3,435E7
5	0,00807	0,00142	1,557E7	6,727E7
6	0,01111	0,00000	2,119E7	6,238E7
7	0,01474	0,00157	4,527E7	1,425E8
8	0,02096	0,00230	4,19E7	1,301E8
9	0,03052	0,00367	8,923E7	1,861E8
10	0,06793	0,02993	2,071E8	4,012E8
