Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,03093	0,01298	1,814E0	2,042E0
2	0,06507	0,00661	3,693E0	4,152E0
3	0,09173	0,01029	4,724E0	5,017E0
4	0,12253	0,00997	6,37E0	8,708E0
5	0,15493	0,01055	8,355E0	6,782E0
6	0,18560	0,00847	8,419E0	7,644E0
7	0,22413	0,01040	1,184E1	8,599E0
8	0,26507	0,01558	1,465E1	8,244E0
9	0,33067	0,02565	2,166E1	1,209E1
10	0,45733	0,06605	3,657E1	1,926E1
