Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,04080	0,01516	1,26E0	1,635E0
2	0,07424	0,00846	4,44E0	2,751E0
3	0,10202	0,00940	8,56E0	3,324E0
4	0,12714	0,01085	1,128E1	5,227E0
5	0,15738	0,01031	1,748E1	5,258E0
6	0,19670	0,00806	2,534E1	2,495E0
7	0,23702	0,01235	3,48E1	1,833E0
8	0,29965	0,01394	4,98E1	3,447E0
9	0,37440	0,01708	6,864E1	6,215E0
10	0,54637	0,11581	1,164E2	3,445E1
