Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,00469	0,00000	2,475E-2	1,298E-1
2	0,00469	0,00000	3,989E-3	1,04E-2
3	0,00469	0,00000	1,206E-2	4,124E-2
4	0,00469	0,00000	1,288E-2	4,67E-2
5	0,00648	0,00228	8,726E-3	4,035E-2
6	0,00939	0,00000	5,615E-3	1,863E-2
7	0,01380	0,00146	1,275E-2	3,42E-2
8	0,02075	0,00232	1,588E-2	5,586E-2
9	0,03221	0,00488	1,802E-2	5,906E-2
10	0,08376	0,05106	2,189E-2	4,958E-2
