Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,00862	0,00000	3,056E11	6,712E11
2	0,00862	0,00000	3,305E11	7,753E11
3	0,00862	0,00000	1,198E11	2,56E11
4	0,00862	0,00000	3,005E11	1,049E12
5	0,00862	0,00000	5,88E11	2,078E12
6	0,00862	0,00000	5,513E11	1,913E12
7	0,01000	0,00316	6,779E11	3,705E12
8	0,01724	0,00000	1,873E12	7,125E12
9	0,01897	0,00345	7,474E12	4,447E13
10	0,03603	0,01178	8,01E12	2E13
