K, MeanJaccardScore
1, 0.0
2, 0.0
3, 0.3333333333333333
4, 0.05555555555555555
5, 0.0
6, 0.019230769230769232
7, 0.039560439560439566
8, 0.041666666666666664
9, 0.010101010101010102
10, 0.0
11, 0.056818181818181816
12, 0.0
13, 0.022565066512434933
14, 0.011337868480725623
15, 0.04901709401709402
16, 0.03333333333333333
17, 0.027089783281733747
18, 0.04938271604938271
19, 0.027192982456140352
20, 0.016666666666666666
21, 0.0805284432613625
22, 0.04523809523809524
23, 0.0
24, 0.03581349206349206
25, 0.07476190476190477
26, 0.0
27, 0.0392687559354226
28, 0.07653061224489796
29, 0.06848037020450815
30, 0.030580618212197156
31, 0.0
32, 0.03125
33, 0.0
34, 0.03341073271413828
35, 0.02142857142857143
36, 0.02603615520282187
37, 0.013513513513513514
38, 0.05634602811376267
39, 0.008547008547008546
40, 0.023822878510378512
41, 0.003484320557491289
42, 0.004761904761904762
43, 0.048117386489479504
44, 0.03409090909090909
45, 0.053815093288777496
46, 0.05339026915113872
47, 0.0047872340425531915
48, 0.06834700165908658
49, 0.060412200178106557
50, 0.00857142857142857
51, 0.026659884588273335
52, 0.0
53, 0.05309282493081589
54, 0.06117340232678397
55, 0.015394640820172736
56, 0.05703133133257358
57, 0.0
58, 0.034482758620689655
59, 0.0728118809453377
60, 0.03369565217391304
61, 0.09344461377680466
62, 0.04851510496671787
63, 0.013928736477756087
64, 0.022423203048381822
65, 0.046153846153846156
66, 0.013158761528326745
67, 0.05970149253731343
68, 0.0442408958304287
69, 0.0
70, 0.055329683256701886
71, 0.0679134819830055
72, 0.07017280191428797
73, 0.01086105675146771
74, 0.01779279279279279
75, 0.0
76, 0.030415189125295505
77, 0.07361040167510917
78, 6.747638326585695E-4
79, 0.050882796039648
80, 0.006448412698412698
81, 0.061972109717681384
82, 0.03683869014273671
83, 0.060240963855421686
84, 0.0
85, 0.0530509108157513
86, 0.002325581395348837
87, 0.05053029563301023
88, 0.03845468223225576
89, 0.04770765791772143
90, 0.022318594104308385
91, 0.016483516483516484
92, 0.010869565217391304
93, 0.021505376344086023
94, 0.06973888481751572
95, 0.06315789473684211
96, 0.045717069765982804
97, 0.030927835051546393
98, 0.015468091998704242
99, 0.03390144253670824
100, 0.07
101, 0.011001100110011002
102, 0.011973795769210253
103, 0.014215490550442007
104, 0.008658104174408522
105, 0.049020667445644164
106, 0.056182553939467555
107, 0.04050149381823498
108, 0.016790681509770897
109, 0.040694156099660476
110, 0.014138235501871864
111, 0.06306248671977574
112, 0.0675794685878659
113, 0.034486303423394614
114, 0.053360154185068634
115, 0.052708328218725196
116, 0.053523702382766984
117, 0.04136627649758978
118, 0.0507394559301339
119, 0.05027846170712928
120, 0.0060750006494687345
121, 0.012392118100363343
122, 0.04101275530359046
123, 0.08985350188595927
124, 0.07332420150465016
125, 0.01819959846916368
126, 0.025321239606953892
127, 0.00761596734046688
128, 0.01984126984126984
129, 0.02554160206004917
