K, MeanJaccardScore
1, 1.0
2, 1.0
3, 1.0
4, 1.0
5, 0.0
6, 0.8333333333333334
7, 0.0
8, 0.75
9, 0.7777777777777778
10, 0.8
11, 0.8181818181818182
12, 0.8333333333333334
13, 0.8461538461538461
14, 0.8571428571428571
15, 0.0
16, 0.8125
17, 0.8235294117647058
18, 0.0
19, 0.7894736842105263
20, 0.8
21, 0.8095238095238095
22, 0.8181818181818182
23, 0.8260869565217391
24, 0.8333333333333334
25, 0.84
26, 0.8461538461538461
27, 0.0
28, 0.8214285714285714
29, 0.0
30, 0.8
31, 0.8064516129032258
32, 0.8125
33, 0.030303030303030304
34, 0.029411764705882353
35, 0.02857142857142857
36, 0.75
37, 0.7567567567567568
38, 0.7631578947368421
39, 0.7692307692307693
40, 0.775
41, 0.7804878048780488
42, 0.0
43, 0.7674418604651163
44, 0.022727272727272728
45, 0.7555555555555555
46, 0.7608695652173914
47, 0.02127659574468085
48, 0.75
49, 0.04081632653061224
50, 0.04
51, 0.7254901960784313
52, 0.7307692307692307
53, 0.0
54, 0.018518518518518517
55, 0.7090909090909091
56, 0.7142857142857143
57, 0.017543859649122806
58, 0.7068965517241379
59, 0.05084745762711865
60, 0.7
61, 0.7049180327868853
62, 0.0
63, 0.0
64, 0.03125
65, 0.676923076923077
66, 0.030303030303030304
67, 0.6716417910447762
68, 0.6764705882352942
69, 0.043478260869565216
70, 0.04285714285714286
71, 0.6619718309859155
72, 0.6666666666666666
73, 0.6712328767123288
74, 0.6756756756756757
75, 0.68
76, 0.05263157894736842
77, 0.6753246753246753
78, 0.0641025641025641
79, 0.02531645569620253
80, 0.6625
81, 0.04938271604938271
82, 0.6585365853658537
83, 0.6626506024096386
84, 0.6666666666666666
85, 0.07058823529411765
86, 0.6627906976744186
87, 0.0
88, 0.0
89, 0.651685393258427
90, 0.03333333333333333
91, 0.6483516483516484
92, 0.03260869565217391
93, 0.6451612903225806
94, 0.648936170212766
95, 0.042105263157894736
96, 0.07291666666666667
97, 0.6391752577319587
98, 0.6428571428571429
99, 0.6464646464646465
100, 0.65
101, 0.6534653465346535
102, 0.6568627450980392
103, 0.6601941747572816
104, 0.6634615384615384
105, 0.6666666666666666
106, 0.04716981132075472
107, 0.6635514018691588
108, 0.6666666666666666
109, 0.6697247706422018
110, 0.6727272727272727
111, 0.009009009009009009
112, 0.05357142857142857
113, 0.04424778761061947
114, 0.03508771929824561
