K, CoverageSize
0, 0.007692307692307693
1, 0.023076923076923078
2, 0.007692307692307693
3, 0.007692307692307693
4, 0.03076923076923077
5, 0.007692307692307693
6, 0.015384615384615385
7, 0.007692307692307693
8, 0.015384615384615385
9, 0.023076923076923078
10, 0.015384615384615385
11, 0.03076923076923077
12, 0.007692307692307693
13, 0.007692307692307693
14, 0.023076923076923078
15, 0.06923076923076923
16, 0.015384615384615385
17, 0.007692307692307693
18, 0.007692307692307693
19, 0.03076923076923077
20, 0.03076923076923077
21, 0.007692307692307693
22, 0.03076923076923077
23, 0.05384615384615385
24, 0.007692307692307693
25, 0.015384615384615385
26, 0.023076923076923078
27, 0.015384615384615385
28, 0.007692307692307693
29, 0.007692307692307693
30, 0.05384615384615385
31, 0.007692307692307693
32, 0.015384615384615385
33, 0.015384615384615385
34, 0.007692307692307693
35, 0.007692307692307693
36, 0.03076923076923077
37, 0.03076923076923077
38, 0.007692307692307693
39, 0.015384615384615385
40, 0.03076923076923077
41, 0.023076923076923078
42, 0.007692307692307693
43, 0.03076923076923077
44, 0.007692307692307693
45, 0.046153846153846156
46, 0.007692307692307693
47, 0.046153846153846156
48, 0.015384615384615385
49, 0.023076923076923078
50, 0.015384615384615385
51, 0.007692307692307693
52, 0.038461538461538464
53, 0.007692307692307693
54, 0.015384615384615385
55, 0.007692307692307693
56, 0.015384615384615385
57, 0.015384615384615385
58, 0.007692307692307693
59, 0.007692307692307693
60, 0.007692307692307693
61, 0.015384615384615385
62, 0.015384615384615385
63, 0.015384615384615385
64, 0.015384615384615385
65, 0.007692307692307693
66, 0.038461538461538464
67, 0.03076923076923077
68, 0.007692307692307693
69, 0.007692307692307693
70, 0.007692307692307693
71, 0.007692307692307693
72, 0.007692307692307693
73, 0.007692307692307693
74, 0.05384615384615385
75, 0.023076923076923078
76, 0.007692307692307693
77, 0.007692307692307693
78, 0.015384615384615385
79, 0.007692307692307693
80, 0.007692307692307693
81, 0.023076923076923078
82, 0.007692307692307693
83, 0.007692307692307693
84, 0.023076923076923078
85, 0.007692307692307693
86, 0.007692307692307693
87, 0.007692307692307693
88, 0.007692307692307693
89, 0.007692307692307693
90, 0.015384615384615385
91, 0.023076923076923078
92, 0.007692307692307693
93, 0.007692307692307693
94, 0.007692307692307693
95, 0.007692307692307693
96, 0.03076923076923077
97, 0.007692307692307693
98, 0.007692307692307693
99, 0.007692307692307693
100, 0.007692307692307693
101, 0.007692307692307693
102, 0.023076923076923078
103, 0.046153846153846156
104, 0.09230769230769231
105, 0.007692307692307693
106, 0.007692307692307693
107, 0.015384615384615385
108, 0.007692307692307693
109, 0.015384615384615385
110, 0.007692307692307693
111, 0.007692307692307693
112, 0.03076923076923077
113, 0.007692307692307693
114, 0.007692307692307693
115, 0.03076923076923077
116, 0.007692307692307693
117, 0.038461538461538464
118, 0.038461538461538464
119, 0.015384615384615385
120, 0.015384615384615385
121, 0.007692307692307693
122, 0.015384615384615385
123, 0.007692307692307693
124, 0.007692307692307693
125, 0.015384615384615385
126, 0.007692307692307693
127, 0.03076923076923077
128, 0.038461538461538464
129, 0.007692307692307693
130, 0.023076923076923078
131, 0.023076923076923078
132, 0.007692307692307693
133, 0.007692307692307693
134, 0.007692307692307693
135, 0.023076923076923078
136, 0.007692307692307693
137, 0.007692307692307693
138, 0.015384615384615385
139, 0.007692307692307693
140, 0.007692307692307693
141, 0.007692307692307693
142, 0.007692307692307693
143, 0.015384615384615385
144, 0.007692307692307693
145, 0.007692307692307693
146, 0.023076923076923078
147, 0.023076923076923078
148, 0.007692307692307693
149, 0.007692307692307693
150, 0.023076923076923078
151, 0.015384615384615385
152, 0.015384615384615385
153, 0.015384615384615385
154, 0.05384615384615385
155, 0.015384615384615385
156, 0.007692307692307693
157, 0.015384615384615385
158, 0.015384615384615385
159, 0.015384615384615385
160, 0.007692307692307693
161, 0.007692307692307693
162, 0.015384615384615385
163, 0.007692307692307693
164, 0.007692307692307693
165, 0.007692307692307693
166, 0.03076923076923077
167, 0.007692307692307693
168, 0.007692307692307693
169, 0.007692307692307693
170, 0.007692307692307693
171, 0.023076923076923078
172, 0.015384615384615385
173, 0.007692307692307693
174, 0.007692307692307693
175, 0.046153846153846156
176, 0.007692307692307693
177, 0.015384615384615385
178, 0.03076923076923077
179, 0.007692307692307693
180, 0.007692307692307693
181, 0.015384615384615385
182, 0.007692307692307693
183, 0.007692307692307693
184, 0.007692307692307693
185, 0.007692307692307693
186, 0.015384615384615385
187, 0.007692307692307693
188, 0.015384615384615385
189, 0.03076923076923077
190, 0.023076923076923078
191, 0.015384615384615385
192, 0.015384615384615385
193, 0.007692307692307693
194, 0.015384615384615385
195, 0.023076923076923078
196, 0.023076923076923078
197, 0.05384615384615385
198, 0.007692307692307693
199, 0.023076923076923078
200, 0.046153846153846156
201, 0.007692307692307693
202, 0.007692307692307693
203, 0.007692307692307693
204, 0.038461538461538464
205, 0.015384615384615385
206, 0.015384615384615385
207, 0.007692307692307693
208, 0.007692307692307693
209, 0.023076923076923078
210, 0.03076923076923077
211, 0.007692307692307693
212, 0.007692307692307693
213, 0.007692307692307693
214, 0.007692307692307693
215, 0.007692307692307693
216, 0.015384615384615385
217, 0.015384615384615385
218, 0.1
219, 0.03076923076923077
220, 0.007692307692307693
221, 0.046153846153846156
222, 0.06923076923076923
223, 0.007692307692307693
224, 0.03076923076923077
225, 0.038461538461538464
226, 0.03076923076923077
227, 0.023076923076923078
228, 0.015384615384615385
229, 0.007692307692307693
230, 0.046153846153846156
231, 0.038461538461538464
232, 0.007692307692307693
233, 0.015384615384615385
234, 0.023076923076923078
235, 0.007692307692307693
236, 0.007692307692307693
237, 0.015384615384615385
238, 0.007692307692307693
239, 0.007692307692307693
240, 0.007692307692307693
241, 0.007692307692307693
242, 0.007692307692307693
243, 0.046153846153846156
244, 0.007692307692307693
245, 0.007692307692307693
246, 0.015384615384615385
247, 0.03076923076923077
248, 0.007692307692307693
249, 0.046153846153846156
250, 0.007692307692307693
251, 0.015384615384615385
252, 0.015384615384615385
253, 0.015384615384615385
254, 0.007692307692307693
255, 0.03076923076923077
256, 0.007692307692307693
257, 0.007692307692307693
258, 0.007692307692307693
259, 0.007692307692307693
260, 0.007692307692307693
261, 0.046153846153846156
262, 0.015384615384615385
263, 0.015384615384615385
264, 0.06923076923076923
265, 0.03076923076923077
266, 0.09230769230769231
267, 0.007692307692307693
268, 0.007692307692307693
269, 0.023076923076923078
270, 0.007692307692307693
271, 0.015384615384615385
272, 0.007692307692307693
273, 0.046153846153846156
274, 0.007692307692307693
275, 0.007692307692307693
276, 0.015384615384615385
277, 0.007692307692307693
278, 0.007692307692307693
279, 0.023076923076923078
280, 0.03076923076923077
281, 0.015384615384615385
282, 0.05384615384615385
283, 0.007692307692307693
284, 0.03076923076923077
285, 0.06153846153846154
286, 0.007692307692307693
287, 0.03076923076923077
288, 0.015384615384615385
289, 0.023076923076923078
290, 0.015384615384615385
291, 0.007692307692307693
292, 0.007692307692307693
293, 0.007692307692307693
294, 0.015384615384615385
295, 0.007692307692307693
296, 0.03076923076923077
297, 0.03076923076923077
298, 0.046153846153846156
299, 0.007692307692307693
300, 0.007692307692307693
301, 0.015384615384615385
302, 0.007692307692307693
303, 0.015384615384615385
304, 0.007692307692307693
305, 0.015384615384615385
306, 0.015384615384615385
307, 0.023076923076923078
308, 0.015384615384615385
309, 0.007692307692307693
310, 0.023076923076923078
311, 0.015384615384615385
312, 0.015384615384615385
313, 0.015384615384615385
314, 0.007692307692307693
315, 0.023076923076923078
316, 0.023076923076923078
317, 0.046153846153846156
318, 0.015384615384615385
319, 0.038461538461538464
