K, CoverageSize
409, 0.0768
410, 0.016
411, 0.016
412, 0.0064
413, 0.0576
414, 0.0096
415, 0.0096
416, 0.0032
417, 0.0384
418, 0.0384
419, 0.0192
420, 0.0384
421, 0.04
422, 0.0128
423, 0.0256
424, 0.0128
425, 0.0064
426, 0.0384
427, 0.016
428, 0.0576
429, 0.0096
430, 0.0064
431, 0.0288
432, 0.0576
433, 0.0096
434, 0.0144
435, 0.0064
436, 0.008
437, 0.064
438, 0.0016
439, 0.0032
440, 0.0064
441, 0.0096
442, 0.0256
443, 0.0128
444, 0.0096
445, 0.048
446, 0.0288
447, 0.0576
448, 0.0144
449, 0.0256
450, 0.0064
451, 0.0064
452, 0.048
453, 0.096
454, 0.0064
455, 0.0576
456, 0.0384
457, 0.096
458, 0.0096
459, 0.0384
460, 0.0048
461, 0.0096
462, 0.0128
463, 0.0032
464, 0.0576
465, 0.1728
466, 0.0768
467, 0.1152
468, 0.1296
469, 0.0384
470, 0.048
471, 0.0128
472, 0.016
473, 0.0064
474, 0.04
475, 0.0016
476, 0.0064
477, 0.0032
478, 0.0192
479, 0.0384
480, 0.0048
481, 0.0288
482, 0.0512
483, 0.0256
484, 0.0096
485, 0.0048
486, 0.0256
487, 0.0096
488, 0.0096
489, 0.0064
490, 0.0256
491, 0.0128
492, 0.0288
493, 0.0192
494, 0.008
495, 0.0256
496, 0.016
497, 0.0048
498, 0.192
499, 0.0016
500, 0.0064
501, 0.16
502, 0.048
503, 0.0192
504, 0.0064
505, 0.032
506, 0.0064
507, 0.0192
508, 0.0768
509, 0.0192
510, 0.0864
511, 0.0384
512, 0.0192
513, 0.0256
514, 0.3072
515, 0.0384
516, 0.0128
517, 0.0048
518, 0.016
519, 0.0192
520, 0.0064
521, 0.016
522, 0.0128
523, 0.0384
524, 0.0032
525, 0.0064
526, 0.0096
527, 0.0032
528, 0.0256
529, 0.0032
530, 0.0192
531, 0.0096
532, 0.016
533, 0.0768
534, 0.096
535, 0.032
536, 0.0256
537, 0.048
538, 0.0576
539, 0.0128
540, 0.0192
541, 0.1152
542, 0.0032
543, 0.0048
544, 0.024
545, 0.0384
546, 0.0288
547, 0.0192
548, 0.096
549, 0.0384
550, 0.0128
551, 0.0288
552, 0.048
553, 0.032
554, 0.0032
555, 0.1152
556, 0.0096
557, 0.0384
558, 0.024
559, 0.0048
560, 0.0128
561, 0.0512
562, 0.0064
563, 0.1152
564, 0.0096
565, 0.0128
566, 0.0288
567, 0.024
568, 0.0384
569, 0.48
570, 0.0384
571, 0.0288
572, 0.048
573, 0.1152
574, 0.0096
575, 0.1536
576, 0.0192
577, 0.0096
578, 0.0192
579, 0.0032
580, 0.0128
581, 0.0384
582, 0.0064
583, 0.0512
584, 0.0128
585, 0.0384
586, 0.216
587, 0.024
588, 0.0512
589, 0.0128
590, 0.144
591, 0.0064
592, 0.0032
593, 0.0128
594, 0.016
595, 0.1152
596, 0.0064
597, 0.0192
598, 0.048
599, 0.0064
600, 0.0192
601, 0.64
602, 0.0256
603, 0.12
604, 0.0096
605, 0.0192
606, 0.0256
607, 0.048
608, 0.0128
609, 0.0512
610, 0.0128
611, 0.0048
612, 0.0096
613, 0.04
614, 0.0384
615, 0.0128
616, 0.0064
617, 0.0016
618, 0.0128
619, 0.048
620, 0.0576
621, 0.0384
622, 0.0128
623, 0.032
624, 0.0016
625, 0.128
626, 0.0032
627, 0.048
628, 0.0192
629, 0.0432
630, 0.0064
631, 0.0064
632, 0.0192
633, 0.032
634, 0.0384
635, 0.0128
636, 0.0192
637, 0.0576
638, 0.0576
639, 0.096
640, 0.0048
641, 0.0512
642, 0.0048
643, 0.144
644, 0.0032
645, 0.0096
646, 0.0768
647, 0.0064
648, 0.0064
649, 0.0576
650, 0.0144
651, 0.0064
652, 0.096
653, 0.0192
654, 0.144
655, 0.36
656, 0.0576
657, 0.0192
658, 0.128
659, 0.0128
660, 0.0192
661, 0.0576
662, 0.064
663, 0.0064
664, 0.0032
665, 0.0048
666, 0.0064
667, 0.0128
668, 0.0096
669, 0.064
670, 0.0048
671, 0.0192
672, 0.1024
673, 0.064
674, 0.0192
675, 0.096
676, 0.0192
677, 0.0512
678, 0.0128
679, 0.0384
680, 0.0384
681, 0.0128
682, 0.0384
683, 0.072
684, 0.1536
685, 0.032
686, 0.0048
687, 0.064
688, 0.0432
689, 0.032
690, 0.096
691, 0.0256
692, 0.0768
693, 0.048
694, 0.0048
695, 0.0384
696, 0.0288
697, 0.0512
698, 0.0128
699, 0.0096
700, 0.0432
701, 0.0128
702, 0.0064
703, 0.0144
704, 0.0432
705, 0.0768
706, 0.0144
707, 0.0256
708, 0.0064
709, 0.0192
710, 0.1024
711, 0.1152
712, 0.0384
713, 0.0768
714, 0.0768
715, 0.0768
716, 0.0064
717, 0.064
718, 0.0192
719, 0.0064
720, 0.0768
721, 0.0096
722, 0.0144
723, 0.096
724, 0.0384
725, 0.024
726, 0.16
727, 0.0256
728, 0.0288
729, 0.0064
730, 0.0032
731, 0.1024
732, 0.0128
733, 0.032
734, 0.0512
735, 0.08
736, 0.0256
737, 0.0768
738, 0.0384
739, 0.0128
740, 0.0064
741, 0.0192
742, 0.0048
743, 0.0048
744, 0.016
745, 0.0128
746, 0.0064
747, 0.0576
748, 0.0128
749, 0.0192
750, 0.0256
751, 0.0192
752, 0.0192
753, 0.0192
754, 0.48
755, 0.072
756, 0.0128
757, 0.0064
758, 0.0128
759, 0.0288
760, 0.0768
761, 0.0096
762, 0.2304
763, 0.0288
764, 0.0288
765, 0.0032
766, 0.0576
767, 0.0128
768, 0.0128
769, 0.1728
770, 0.16
771, 0.016
772, 0.0128
773, 0.048
774, 0.0048
775, 0.096
776, 0.0096
777, 0.0256
778, 0.2304
779, 0.144
780, 0.0096
781, 0.0192
782, 0.0128
783, 0.0512
784, 0.0128
785, 0.0064
786, 0.096
787, 0.0128
788, 0.0064
789, 0.0128
790, 0.048
791, 0.0384
792, 0.0384
793, 0.0064
794, 0.0432
795, 0.192
796, 0.192
797, 0.064
798, 0.0576
799, 0.0192
800, 0.0016
801, 0.0384
802, 0.2304
803, 0.016
804, 0.0064
805, 0.24
806, 0.0576
807, 0.0128
808, 0.0032
809, 0.0064
810, 0.0096
811, 0.0096
812, 0.0064
813, 0.0768
814, 0.0096
815, 0.032
816, 0.0096
817, 0.0512
818, 0.0128
819, 0.0192
820, 0.0192
821, 0.1152
822, 0.0064
823, 0.0096
824, 0.0128
825, 0.008
826, 0.0096
827, 0.0032
828, 0.0144
829, 0.0048
830, 0.0064
831, 0.0128
832, 0.0128
833, 0.0144
834, 0.0096
835, 0.0128
836, 0.048
837, 0.0064
838, 0.144
839, 0.0128
840, 0.1728
841, 0.0128
842, 0.008
843, 0.0288
844, 0.032
845, 0.048
846, 0.0128
847, 0.048
848, 0.0576
849, 0.0288
850, 0.0128
851, 0.0128
852, 0.0128
853, 0.0192
854, 0.0032
855, 0.0864
856, 0.0576
857, 0.0016
858, 0.128
859, 0.0032
860, 0.0768
861, 0.0288
862, 0.064
863, 0.0768
864, 0.0064
865, 0.064
866, 0.0288
867, 0.0048
868, 0.0064
869, 0.144
870, 0.0096
871, 0.0128
872, 0.0192
873, 0.0032
874, 0.0512
875, 0.0768
876, 0.0064
877, 0.0064
878, 0.0256
879, 0.0384
880, 0.0288
881, 0.0384
882, 0.0384
883, 0.0096
884, 0.016
885, 0.0064
886, 0.024
887, 0.0128
888, 0.0096
889, 0.0064
890, 0.0048
891, 0.128
892, 0.0032
893, 0.0096
894, 0.128
895, 0.0192
896, 0.048
897, 0.1024
898, 0.0288
899, 0.0288
900, 0.0576
901, 0.0192
902, 0.0128
903, 0.0064
904, 0.0512
905, 0.0256
906, 0.0256
907, 0.032
908, 0.04
909, 0.0768
910, 0.0576
911, 0.0384
912, 0.032
913, 0.032
914, 0.0384
915, 0.0128
916, 0.0192
917, 0.0032
918, 0.0064
919, 0.0256
920, 0.032
921, 0.0128
922, 0.0384
923, 0.0064
924, 0.0192
925, 0.0032
926, 0.0768
927, 0.0064
928, 0.0256
929, 0.064
930, 0.0128
931, 0.16
932, 0.0096
933, 0.32
934, 0.0096
935, 0.048
936, 0.1536
937, 0.1536
938, 0.1024
939, 0.0128
940, 0.0192
941, 0.0096
942, 0.0096
943, 0.0096
944, 0.016
945, 0.024
946, 0.0288
947, 0.0192
948, 0.096
949, 0.0192
950, 0.0192
951, 0.016
952, 0.0256
953, 0.0512
954, 0.0128
955, 0.0288
956, 0.1152
957, 0.0096
958, 0.0096
959, 0.0096
960, 0.0128
961, 0.096
962, 0.0032
963, 0.0256
964, 0.0032
965, 0.0128
966, 0.0128
967, 0.0048
968, 0.0096
969, 0.008
970, 0.0384
971, 0.0256
972, 0.0096
973, 0.0288
974, 0.0096
975, 0.0256
976, 0.0192
977, 0.0144
978, 0.0384
979, 0.0576
980, 0.0096
981, 0.0384
982, 0.0096
983, 0.0256
984, 0.0384
985, 0.0064
986, 0.0288
987, 0.0288
988, 0.0096
989, 0.48
990, 0.0192
991, 0.192
992, 0.0256
993, 0.0144
994, 0.0384
995, 0.288
996, 0.024
997, 0.0192
998, 0.0096
999, 0.032
1000, 0.0512
1001, 0.0288
1002, 0.0032
1003, 0.064
1004, 0.0768
1005, 0.0864
1006, 0.024
1007, 0.0032
1008, 0.0288
1009, 0.0576
1010, 0.0096
1011, 0.096
1012, 0.0512
1013, 0.1152
1014, 0.0128
1015, 0.0384
1016, 0.0288
1017, 0.0576
1018, 0.0096
1019, 0.0384
1020, 0.0576
1021, 0.0192
1022, 0.08
1023, 0.0192
1024, 0.0768
1025, 0.0192
1026, 0.08
1027, 0.0192
1028, 0.0048
1029, 0.0288
1030, 0.0096
1031, 0.0384
1032, 0.0288
1033, 0.0864
1034, 0.0256
1035, 0.0576
1036, 0.0192
1037, 0.0016
1038, 0.0096
1039, 0.0128
1040, 0.0192
1041, 0.048
1042, 0.0128
1043, 0.032
1044, 0.08
1045, 0.0384
1046, 0.0384
1047, 0.0128
1048, 0.0032
1049, 0.0032
1050, 0.1152
1051, 0.0128
1052, 0.0032
1053, 0.0016
1054, 0.0128
1055, 0.0128
1056, 0.0192
1057, 0.016
1058, 0.0032
1059, 0.0048
1060, 0.12
1061, 0.0384
1062, 0.144
1063, 0.1728
1064, 0.0288
1065, 0.1536
1066, 0.032
1067, 0.048
1068, 0.0128
1069, 0.0128
1070, 0.0096
1071, 0.0096
1072, 0.0032
1073, 0.0432
1074, 0.0064
1075, 0.032
1076, 0.0064
1077, 0.0192
1078, 0.0144
1079, 0.0256
1080, 0.0128
1081, 0.0048
1082, 0.0512
1083, 0.0256
1084, 0.0096
1085, 0.0192
1086, 0.0096
1087, 0.0288
1088, 0.0032
1089, 0.0576
1090, 0.04
1091, 0.0128
1092, 0.0432
1093, 0.0256
1094, 0.0384
1095, 0.0144
1096, 0.0064
1097, 0.064
1098, 0.0384
1099, 0.048
1100, 0.0192
1101, 0.0256
1102, 0.0384
1103, 0.0048
1104, 0.0384
1105, 0.0256
1106, 0.0096
1107, 0.016
1108, 0.0576
1109, 0.0384
1110, 0.0192
1111, 0.048
1112, 0.0096
1113, 0.016
1114, 0.0192
1115, 0.024
1116, 0.2048
1117, 0.0096
1118, 0.0096
1119, 0.048
1120, 0.0256
1121, 0.0128
1122, 0.0192
1123, 0.128
1124, 0.0064
1125, 0.048
1126, 0.0096
1127, 0.0768
1128, 0.0192
1129, 0.0192
1130, 0.0768
1131, 0.0096
1132, 0.0144
1133, 0.0576
1134, 0.0128
1135, 0.0256
1136, 0.0576
1137, 0.0384
1138, 0.1728
1139, 0.0192
1140, 0.096
1141, 0.0512
1142, 0.0032
1143, 0.0384
1144, 0.0128
1145, 0.0048
1146, 0.0064
1147, 0.016
1148, 0.0048
1149, 0.16
1150, 0.0192
1151, 0.0512
1152, 0.0048
1153, 0.0032
1154, 0.0576
1155, 0.0128
1156, 0.0096
1157, 0.0096
1158, 0.0064
1159, 0.0032
1160, 0.096
1161, 0.016
1162, 0.064
1163, 0.0064
1164, 0.36
1165, 0.0192
1166, 0.384
1167, 0.0128
1168, 0.032
1169, 0.1152
1170, 0.048
1171, 0.0768
1172, 0.0048
1173, 0.216
1174, 0.0016
1175, 0.0096
1176, 0.0064
