Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,00667	0,00000	3,678E-1	1,138E0
2	0,00667	0,00000	4,737E-1	1,046E0
3	0,00667	0,00000	1,96E-1	4,333E-1
4	0,00760	0,00231	2,065E-1	3,864E-1
5	0,01333	0,00000	7,499E-1	2,144E0
6	0,01680	0,00333	8,704E-1	2,127E0
7	0,02373	0,00331	1,176E0	3,483E0
8	0,03373	0,00587	6,767E-1	1,269E0
9	0,06587	0,01351	1,474E0	2,825E0
10	0,18813	0,11326	7,445E0	1,314E1
