Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,00370	0,00000	0E0	0E0
2	0,00370	0,00000	0E0	0E0
3	0,00370	0,00000	0E0	0E0
4	0,00370	0,00000	0E0	0E0
5	0,00370	0,00000	0E0	0E0
6	0,00370	0,00000	0E0	0E0
7	0,00370	0,00000	2,054E5	1,438E6
8	0,00370	0,00000	1,656E4	1,159E5
9	0,00370	0,00000	0E0	0E0
10	0,00637	0,00332	8,233E5	5,688E6
