Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,00813	0,00286	0E0	0E0
2	0,01619	0,00284	0E0	0E0
3	0,02275	0,00306	8E-2	2,713E-1
4	0,03136	0,00339	1,6E-1	5,426E-1
5	0,03926	0,00208	5,2E-1	8,773E-1
6	0,05197	0,00360	1,3E0	1,688E0
7	0,06758	0,00817	2,56E0	2,655E0
8	0,09376	0,01071	6,48E0	3,89E0
9	0,13622	0,01407	1,352E1	5,037E0
10	0,26502	0,10397	4,206E1	2,642E1
