Groupe	Moyenne_Fréquence	Écart_Type_Fréquence	Moyenne_Volume	Écart_Type_Volume
1	0,00483	0,00000	7,76E-65	5,213E-64
2	0,00483	0,00000	1,869E-67	1,308E-66
3	0,00483	0,00000	3,663E-61	2,564E-60
4	0,00483	0,00000	5,482E-66	2,443E-65
5	0,00483	0,00000	7,207E-69	5,007E-68
6	0,00483	0,00000	9,519E-67	6,646E-66
7	0,00483	0,00000	5,821E-64	2,752E-63
8	0,00483	0,00000	1,874E-65	1,311E-64
9	0,00483	0,00000	2,209E-65	1,42E-64
10	0,00483	0,00000	3,327E-66	1,459E-65
